,created_at,id,user id,full_text,localidad,retweet_count,favorite_count,clasification,tidy_text,user_name
0,12/10/2020 01:31,1.32e+18,9.88467e+17,"Slim es de los principales beneficiados por AMLO,  siempre con su mascota López Obrador. Ridículo creer que la 4T es un gobierno para los trabajadores. 
https://t.co/PA1aNz2rd5","Xochimilco, Distrito Federal",0,0,1.0,slim principales beneficiados amlo siempre mascota lopez obrador. ridiculo creer 4t gobierno trabajadores. https://t.co/pa1anz2rd5,
1,12/10/2020 02:30,1.32e+18,1.14723e+18,"¡ESTO NO LO VISTE DE @lopezobrador_  EN VERDAD LL0RÓ!, AL DAR ESTE MENSAJE ROMPE EN LLANTO 
EL PRESIDENTE  ANDRÉS MANUEL LÓPEZ OBRADOR .
DE MÉXICO.🇲🇽👇🥺 Viva #AMLO 👉@fernandeznorona 
Dios los bendiga.
https://t.co/xBWpvRr3CV",Aquí! en mi México Querido.,0,0,0.0,viste @lopezobrador_ verdad ll0ro dar mensaje rompe llanto presidente andres manuel lopez obrador mexico.🇲🇽👇🥺 viva #amlo 👉@fernandeznorona dios bendiga. https://t.co/xbwpvrr3cv,
2,19/10/2020 12:08,1.32e+18,1.10278e+18,▶️ Sigue la conferencia diaria del presidente López Obrador | Lunes 19 de octubre de 2020 https://t.co/n0sijfP2RZ,"Querétaro, Querétaro Arteaga",0,0,2.0,▶️ sigue conferencia diaria presidente lopez obrador lunes octubre https://t.co/n0sijfp2rz,
3,19/10/2020 12:08,1.32e+18,2374582850.0,#EnPortada | Ante represión violenta en Tabasco; AMLO: “no protesten paisanos”. https://t.co/76wSkiw3qv,Ciudad de México,0,0,2.0,#enportada represion violenta tabasco amlo: protesten paisanos https://t.co/76wskiw3qv,EsNoticiaHoyMx
4,19/10/2020 12:08,1.32e+18,1.20423e+18,"@Vale___Mx @PartidoMorenaMx Por eso de que voto masivo a Morena, la verdad es que no aplica.
Morena vive por el presidente López Obrador, pero si no está a la altura de lo que EXIGIMOS, simplemente se irá así como llegó.",,0,0,1.0,@vale___mx @partidomorenamx voto masivo morena verdad aplica. morena vive presidente lopez obrador si altura exigimos simplemente ira asi llego.,
5,19/10/2020 12:08,1.32e+18,194393503.0,"alergia mañanera, me caes mal",alondra's heart,0,0,3.0,alergia mañanera caes mal,blackangbear
6,19/10/2020 12:08,1.32e+18,300504997.0,"El ejército mexicano no volverá a operar con la impunidad que estaba acostumbrados. la 4T va por ellos, desafortunadamente muchas serán las consecuencias comenzando por Puebla.
@PonchoPosa
@pueblapreciosa
@PoderPoliticoMx
@InformantePueb
@contracritica
https://t.co/qn7zREx2oO https://t.co/JaDMn3IcdW",Mexico,0,0,0.0,ejercito mexicano volvera operar impunidad acostumbrados. 4t va desafortunadamente muchas seran consecuencias comenzando puebla. @ponchoposa @pueblapreciosa @poderpoliticomx @informantepueb @contracritica https://t.co/qn7zrex2oo https://t.co/jadmn3icdw,jmwponcedeleon
7,19/10/2020 12:08,1.32e+18,47321452.0,"@JorgeAl18236615 @brozoxmiswebs Ni leer sabes, él no está dando esa proyección. Así es la nota. 🤦‍♂️. Mejor vaya a aplaudir la mañanera, AMLO necesita apapachos.",Mexico Distrito Federal,0,0,1.0,@jorgeal18236615 @brozoxmiswebs leer sabes dando proyeccion. asi nota. 🤦‍♂️. mejor vaya aplaudir mañanera amlo necesita apapachos.,jesuscarnalla
8,19/10/2020 12:08,1.32e+18,1.24706e+18,Ya tengo listas las palomitas para ver la mañanera de hoy!!,,0,0,0.0,listas palomitas ver mañanera hoy,
9,19/10/2020 12:08,1.32e+18,264424780.0,«Andres Manuel López Obrador Presidente de México : !Exigimos cese a los feminicidios en México!» - Подпишите петицию! https://t.co/Xwr647rj7l через @changeorgrus,"Minsk, Belarus",0,0,1.0,andres manuel lopez obrador presidente mexico exigimos cese feminicidios mexico - подпишите петицию https://t.co/xwr647rj7l через @changeorgrus,MaraStrega
10,19/10/2020 12:08,1.32e+18,7.94265e+17,"""Gobierno del pueblo, para el pueblo y con el pueblo."" AMLO

Conferencia de prensa matutina. Lunes 19 de octubre 2020:

https://t.co/gqraK9t5cg",,0,0,0.0,gobierno pueblo pueblo pueblo. amlo conferencia prensa matutina. lunes octubre 2020: https://t.co/gqrak9t5cg,
11,19/10/2020 12:08,1.32e+18,1.16846e+18,@nodie4r 포스터 주세요주세요ㅠㅠ!!!,,0,0,3.0,@nodie4r 포스터 주세요주세요ㅠㅠ,
12,19/10/2020 12:08,1.32e+18,1.25502e+18,#ConferenciaPresidente AMLO | Lunes 19 de Octubre 2020  @lopezobrador_  #NuevaNormalidad https://t.co/44ysxVdua6,,0,0,2.0,#conferenciapresidente amlo lunes octubre @lopezobrador_ #nuevanormalidad https://t.co/44ysxvdua6,
13,19/10/2020 12:08,1.32e+18,584912452.0,"@Vivianolala Todo lo que disminuya a AMLO es bueno para el país, T O D O.",Ciudad de Mexico,0,0,1.0,@vivianolala disminuya amlo bueno pais o.,mnlte
14,19/10/2020 12:08,1.32e+18,109651819.0,#EnVivo: Conferencia matutina de AMLO del 19 de octubre de 2020 https://t.co/Fgpn8qZHew https://t.co/WPqXa1ECVz,México DF,0,0,2.0,#envivo: conferencia matutina amlo octubre https://t.co/fgpn8qzhew https://t.co/wpqxa1ecvz,Foro_TV
15,19/10/2020 12:08,1.32e+18,716722155.0,"En el 18, MORENA era AMLO.
Es cuanto.",Ciudad de México,0,0,0.0,morena amlo. cuanto.,Autipch
16,19/10/2020 12:08,1.32e+18,1.0904e+18,"Conferencia de prensa mañanera de AMLO 19/10/2020

EN VIVO: La mañanera de @lopezobrador_, aquí los detalles 👇
https://t.co/sA5M9lhCyX","Oaxaca, México",0,0,2.0,conferencia prensa mañanera amlo 20 vivo: mañanera @lopezobrador_ aqui detalles https://t.co/sa5m9lhcyx,
17,19/10/2020 12:07,1.32e+18,79113995.0,"@mexnegentropy @EDUARDO_BITTAR En mexico, amigo disculpa que te lo diga pero amlo es el gran ejemplo se contrajo la economia y el pib, sin mencionar tantas cosas. Pero México es territorio de carteles Venezuela a diferencia de venezuela que el.cartel esta en el gobierno y ejercito",,0,0,1.0,@mexnegentropy @eduardo_bittar mexico amigo disculpa diga amlo gran ejemplo contrajo economia pib mencionar tantas cosas. mexico territorio carteles venezuela diferencia venezuela el.cartel gobierno ejercito,Exodus1721
18,19/10/2020 12:07,1.32e+18,127964015.0,@CiroGomezL 10 años d investigación d la DEA ? = entonces es CIENFUEGOS d FECAL-EPN- AMLO !,,0,0,3.0,@cirogomezl años investigacion dea = entonces cienfuegos fecal-epn- amlo,PAPPY_F4U
19,19/10/2020 12:07,1.32e+18,8091552.0,#EnVivo: Conferencia de prensa de @lopezobrador_ https://t.co/JizJaj2ZBi,"Torreón, Coahuila de Zaragoza",0,0,2.0,#envivo: conferencia prensa @lopezobrador_ https://t.co/jizjaj2zbi,torreon
20,19/10/2020 12:07,1.32e+18,1129845068.0,"@guruchuirer ¿Qué no estuvo con Peña Nieto, el general Cienfuegos detenido en EEUU?... 
¿Qué no fue López Obrador, el que dió la orden que soltaran al hijo del Chapo y fue a saludar a la mamá del Chapo en persona?...",,0,0,1.0,@guruchuirer peña nieto general cienfuegos detenido eeuu lopez obrador dio orden soltaran hijo chapo saludar mama chapo persona,Spiderman00709
21,19/10/2020 12:07,1.32e+18,587742922.0,"@margaritomayelo Brother cuál es ese México ? Mi opinión es que democráticamente solo han ganado Fox y AMLO, y mira con lo que salieron, los demás han sido fraudes como los de Ávila Camacho, Salinas, Calderón y peña nieto o por dedazo como todos los demás.",Coatzacoalcos Ver. Mx,0,0,0.0,@margaritomayelo brother mexico opinion democraticamente solo ganado fox amlo mira salieron demas sido fraudes avila camacho salinas calderon peña nieto dedazo demas.,albertogzmn2
22,19/10/2020 12:07,1.32e+18,185319924.0,"@aracelibs @lopezobrador_ Presidente Andrés Manuel 

De la manera más atenta y respetuosa 

Hoy le exijo la renovación o desaparición del INE 

Ya que se demostró que no está a la altura de las exigencias requeridas para garantizar elecciones limpias 
Y veraces 

Viva la 4T",México,0,0,0.0,@aracelibs @lopezobrador_ presidente andres manuel manera mas atenta respetuosa hoy exijo renovacion desaparicion ine demostro altura exigencias requeridas garantizar elecciones limpias veraces viva 4t,cocteaw
23,19/10/2020 12:07,1.32e+18,8.48644e+17,"@eveyhugo96 Eso es culpa de la Batalla de Puebla, pero ya el Gran Mesias lo va a arreglar en el discurso de la mañanera",,0,0,0.0,@eveyhugo96 culpa batalla puebla gran mesias va arreglar discurso mañanera,
24,19/10/2020 12:07,1.32e+18,1.2249e+18,"El partido #Morena sin López Obrador son NADA. 

Es por eso que harán hasta lo imposible porque el viejo desgraciado aparezca en las boletas del 2021. 🙄",Con Batman,0,0,1.0,partido #morena lopez obrador nada. haran imposible viejo desgraciado aparezca boletas 2021. 🙄,
25,19/10/2020 12:07,1.32e+18,1.16846e+18,@nodie4r 🙏🤞,,0,0,3.0,@nodie4r 🙏🤞,
26,19/10/2020 12:07,1.32e+18,1.30693e+18,"@aramirezcuellar @CENMorenaMX Espero que tenga auto-cririca , porque esa derrota es suya. Solo a pasado de error en errores , en pugna interna, sabía palabra de AMLO demaciado partido para tan poca dirigencia..",,0,0,0.0,@aramirezcuellar @cenmorenamx espero auto-cririca derrota suya. solo pasado error errores pugna interna sabia palabra amlo demaciado partido tan poca dirigencia,
27,19/10/2020 12:07,1.32e+18,25401359.0,Sigue en vivo la conferencia de prensa del presidente Andrés Manuel López Obrador de este lunes 19 de octubre de 2020 https://t.co/vBOAazB7xX,Mexico City,0,1,2.0,sigue vivo conferencia prensa presidente andres manuel lopez obrador lunes octubre https://t.co/vboaazb7xx,NTelevisa_com
28,19/10/2020 12:07,1.32e+18,1.22373e+18,@jgnaredo La 4t no va,,0,0,1.0,@jgnaredo 4t va,
29,19/10/2020 12:07,1.32e+18,1.11644e+18,El que vio la foto mañanera la vio el que no sorry 😅,En Algun Lugar Del Mundo,0,3,3.0,vio foto mañanera vio sorry 😅,
30,19/10/2020 12:07,1.32e+18,253908701.0,"@lopezobrador_ AMLO y Mexico, un soldado en cada mexicano Dios te dio.",Los Angeles,0,0,0.0,@lopezobrador_ amlo mexico soldado cada mexicano dios dio.,manandreek
31,19/10/2020 12:07,1.32e+18,548664982.0,Vénganse a escuchar la mañanera. https://t.co/tHMDPjEhtv,,0,1,0.0,venganse escuchar mañanera. https://t.co/thmdpjehtv,alibernalh
32,19/10/2020 12:07,1.32e+18,1.29629e+18,"Rafael Ojeda Durán, secretario de Marina, tiene Covid-19: AMLO - https://t.co/4bXPNlt3Cl",,1,0,2.0,rafael ojeda duran secretario marina covid-19: amlo https://t.co/4bxpnlt3cl,
33,19/10/2020 12:06,1.32e+18,3285354984.0,@Goyojacome20 @RubenAguilar Asi de mal está la 4T para que se festeje el regreso del PRI. Esperemos se repita en 2021.,Mx,0,0,1.0,@goyojacome20 @rubenaguilar asi mal 4t festeje regreso pri. esperemos repita 2021.,DonruloMx
34,19/10/2020 12:06,1.32e+18,148068593.0,"Ahí está México , ya a AMLO no lo aguantan.
Allí está España, mucha gente dice que van directo a 1936-Parte II.
Ahí está Argentina, peor que nunca.

Chime y Bolivia se van a montar en ese tren, lamentable.

Los venezolanos venimos del futuro, oigan cuando decimos ""por ahí no es""",En NoHaylandia-Caoszuela,0,0,1.0,ahi mexico amlo aguantan. alli españa mucha gente dice van directo 1936-parte ii. ahi argentina peor nunca. chime bolivia van montar tren lamentable. venezolanos venimos futuro oigan decimos ahi,mcrd1972
35,19/10/2020 12:06,1.32e+18,1.27882e+18,"🔴#EnVivo | Sintoniza la #Mañanera con el presidente @lopezobrador_. 

Acompáñanos a través de @C21Noticias en la señal de @Capital_21.

#CorazónDeLaCapital 💚 #DerechoALaInformación

https://t.co/YrXzFAXk8Q","Moras 533, Del Valle Sur, CDMX",0,0,0.0,🔴#envivo sintoniza #mañanera presidente @lopezobrador_. acompañanos traves @c21noticias señal @capital_21. #corazondelacapital #derechoalainformacion https://t.co/yrxzfaxk8q,
36,19/10/2020 12:06,1.32e+18,85025174.0,"#EleccionesHidalgo #EleccionesCoahuila #PAN #4T Al parecer el #PRI trabajaro por #Morena en las #Elecciones2018 se candidato a #Joseantoniomeade y los operadores políticos querían a #MiguelAngelOsorioChong
Hoy recuperan sus espacios",,0,0,1.0,#eleccioneshidalgo #eleccionescoahuila #pan #4t parecer #pri trabajaro #morena #elecciones2018 candidato #joseantoniomeade operadores politicos querian #miguelangelosoriochong hoy recuperan espacios,leos0305
37,19/10/2020 12:06,1.32e+18,1.24905e+18,"Conferencia matutina:

Gobierno del pueblo, para el pueblo y con el pueblo. https://t.co/3s55ZhVZsB",México,0,0,2.0,conferencia matutina: gobierno pueblo pueblo pueblo. https://t.co/3s55zhvzsb,
38,19/10/2020 12:06,1.32e+18,598270333.0,"@daviddoel I don't know enough about the Bolivian election to comment, but I've always been of the belief that the developed countries left and the underdeveloped countries left are two completely different things. For example I am a Bernie supporter yet AMLO in Mexico is simply terrible","Columbus, IN",0,0,1.0,@daviddoel don know enough about the bolivian election to comment but ve always been of the belief that the developed countries left and the underdeveloped countries left are two completely different things. for example am bernie supporter yet amlo in mexico is simply terrible,pakotorz93
